2025-03-09 22:17:19 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Started HackathonServiceApplication in 6.532 seconds (process running for 7.571)
2025-03-09 22:25:43 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 104 class path changes (0 additions, 104 deletions, 0 modifications)
2025-03-09 22:25:43 [Thread-6] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8081"]
2025-03-09 22:25:44 [Thread-6] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-09 22:25:44 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-09 22:25:44 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-03-09 22:25:53 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Starting HackathonServiceApplication using Java 22.0.1 with PID 21132 (D:\Kien FPT\Semester 9\Hackathon\hackathon-service\target\classes started by TRUNG KIEN in D:\Kien FPT\Semester 9\Hackathon)
2025-03-09 22:25:53 [restartedMain] DEBUG c.h.h.HackathonServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2025-03-09 22:25:53 [restartedMain] INFO  c.h.h.HackathonServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-09 22:25:54 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-09 22:25:54 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 299 ms. Found 10 JPA repository interfaces.
2025-03-09 22:25:54 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c3e043ee-88c8-320d-a882-2950dfa31f24
2025-03-09 22:25:54 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-03-09 22:25:54 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-09 22:25:54 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-03-09 22:25:55 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-09 22:25:55 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2019 ms
2025-03-09 22:25:55 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-09 22:25:55 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-09 22:25:55 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-09 22:25:55 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2025-03-09 22:25:55 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1e7cf640
2025-03-09 22:25:55 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2025-03-09 22:25:58 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-09 22:26:02 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-09 22:26:02 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-09 22:26:03 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-03-09 22:26:04 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-03-09 22:26:04 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Started HackathonServiceApplication in 11.687 seconds (process running for 533.169)
2025-03-09 22:26:04 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-03-09 22:26:30 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 104 class path changes (0 additions, 104 deletions, 0 modifications)
2025-03-09 22:26:30 [Thread-9] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-09 22:26:30 [Thread-9] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2025-03-09 22:26:30 [Thread-9] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2025-03-09 22:26:42 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Starting HackathonServiceApplication using Java 22.0.1 with PID 21132 (D:\Kien FPT\Semester 9\Hackathon\hackathon-service\target\classes started by TRUNG KIEN in D:\Kien FPT\Semester 9\Hackathon)
2025-03-09 22:26:42 [restartedMain] DEBUG c.h.h.HackathonServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2025-03-09 22:26:42 [restartedMain] INFO  c.h.h.HackathonServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-09 22:26:43 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-09 22:26:43 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 10 JPA repository interfaces.
2025-03-09 22:26:43 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c3e043ee-88c8-320d-a882-2950dfa31f24
2025-03-09 22:26:43 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-03-09 22:26:43 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-09 22:26:43 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-03-09 22:26:43 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-09 22:26:43 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1047 ms
2025-03-09 22:26:43 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-09 22:26:43 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-09 22:26:43 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-09 22:26:43 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2025-03-09 22:26:43 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection com.mysql.cj.jdbc.ConnectionImpl@67c8e16d
2025-03-09 22:26:43 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2025-03-09 22:26:44 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-09 22:26:45 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-09 22:26:45 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-09 22:26:46 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-03-09 22:26:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-03-09 22:26:46 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Started HackathonServiceApplication in 3.881 seconds (process running for 575.152)
2025-03-09 22:26:46 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-03-09 22:55:35 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-09 22:55:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2025-03-09 22:55:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2025-03-09 22:55:41 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-09 22:55:41 [restartedMain] INFO  c.h.h.HackathonServiceApplication - Starting HackathonServiceApplication using Java 22.0.1 with PID 6576 (D:\Kien FPT\Semester 9\Hackathon\hackathon-service\target\classes started by TRUNG KIEN in D:\Kien FPT\Semester 9\Hackathon)
2025-03-09 22:55:41 [restartedMain] DEBUG c.h.h.HackathonServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2025-03-09 22:55:41 [restartedMain] INFO  c.h.h.HackathonServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-09 22:55:41 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-09 22:55:41 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-09 22:55:42 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
